Standard Concentration,Measured Value,Fitted Value,Residuals,Sample ID
25.46,22.29,24.05621398267688,-1.7662139826768808,MS
25.46,22.6,24.05621398267688,-1.4562139826768785,MS
25.46,26.33,24.05621398267688,2.2737860173231184,MS
12.73,12.74,12.150339380152511,0.5896606198474892,A
12.73,12.69,12.150339380152511,0.5396606198474885,A
12.73,12.78,12.150339380152511,0.6296606198474883,A
6.37,6.29,6.2020783847043575,0.08792161529564257,B
6.37,6.42,6.2020783847043575,0.21792161529564247,B
6.37,6.4,6.2020783847043575,0.1979216152956429,B
3.18,3.18,3.218595275352217,-0.03859527535221696,C
3.18,3.27,3.218595275352217,0.051404724647782896,C
3.18,3.12,3.218595275352217,-0.09859527535221702,C
1.59,1.59,1.7315300264901785,-0.14153002649017843,D
1.59,1.59,1.7315300264901785,-0.14153002649017843,D
1.59,1.57,1.7315300264901785,-0.16153002649017845,D
0.8,0.85,0.9926737078731909,-0.1426737078731909,E
0.8,0.9,0.9926737078731909,-0.09267370787319085,E
0.8,0.84,0.9926737078731909,-0.1526737078731909,E
0.4,0.49,0.6185692427506655,-0.1285692427506655,F
0.4,0.43,0.6185692427506655,-0.1885692427506655,F
0.4,0.54,0.6185692427506655,-0.07856924275066546,F
